iter	RMSE
0	7.145500924
1	6.543862455
2	6.023631361
3	5.555745768
4	5.135118927
5	4.766027222
6	4.409949623
7	4.119776792
8	3.841049888
9	3.591837434
10	3.36829976
11	3.171677265
12	2.988090986
13	2.823292772
14	2.676783007
15	2.544466743
16	2.421666333
17	2.312283099
18	2.207290586
19	2.112200611
20	2.015455726
21	1.92619674
22	1.847615173
23	1.768322039
24	1.697611409
25	1.62923908
26	1.566220708
27	1.504312374
28	1.447988916
29	1.393876348
30	1.344886306
31	1.296913716
32	1.252738874
33	1.209688052
34	1.172165936
35	1.135762862
36	1.10141862
37	1.067197732
38	1.037928961
39	1.007963849
40	0.9797605057
41	0.9541046748
42	0.9309735644
43	0.9094093159
44	0.8889669142
45	0.8721525434
46	0.8534516683
47	0.8382621716
48	0.8220017302
49	0.8074193001
50	0.7918823456
51	0.7790005213
52	0.7656706884
53	0.7533786006
54	0.7425136261
55	0.7320163272
56	0.7222657904
57	0.7139223785
58	0.7042135697
59	0.6948809188
60	0.6866287128
61	0.6805448651
62	0.6718215395
63	0.6642596707
64	0.657481214
65	0.6518575516
66	0.6447024302
67	0.6377647017
68	0.6315109221
69	0.6265518068
70	0.6215198455
71	0.6165110522
72	0.6115341402
73	0.6052208948
74	0.5993154833
75	0.5929381284
76	0.5887467443
77	0.5849508534
78	0.5811257644
79	0.5760844719
80	0.5700892842
81	0.5675005939
82	0.5621384378
83	0.5572178804
84	0.5518795577
85	0.5458250637
86	0.5424916038
87	0.538306752
88	0.5342979395
89	0.5322335767
90	0.5280767139
91	0.5254589805
92	0.5211709881
93	0.5176535812
94	0.5143480391
95	0.5090854406
96	0.5062969091
97	0.5035667118
98	0.5011548617
99	0.4975490249
100	0.4941029932
101	0.4903548215
102	0.4889495132
103	0.4850976768
104	0.4831921071
105	0.4811703219
106	0.478102464
107	0.4739568182
108	0.4705059778
109	0.4683326704
110	0.4669240463
111	0.4638613962
112	0.4622342501
113	0.4587870191
114	0.4571214236
115	0.4542732438
116	0.452401003
117	0.448874741
118	0.4474856466
119	0.4462045149
120	0.4451500609
121	0.4440298249
122	0.4419777814
123	0.4410272628
124	0.4394218004
125	0.4381575478
126	0.4371127041
127	0.4353432057
128	0.4335096756
129	0.4325928459
130	0.4316294823
131	0.4303175668
132	0.4286533775
133	0.4256834013
134	0.4245387054
135	0.4201676641
136	0.4194540491
137	0.4167333124
138	0.4156408488
139	0.41422454
140	0.4134252559
141	0.4123560928
142	0.4105981859
143	0.4096457007
144	0.4076097934
145	0.406969843
146	0.4055442515
147	0.4043709411
148	0.4032028986
149	0.4014087628
150	0.3993489932
151	0.3986420495
152	0.3974996755
153	0.396623844
154	0.3946042113
155	0.3921620082
156	0.3914648436
157	0.3909509497
158	0.3899283538
159	0.3885358635
160	0.3867932334
161	0.3859337528
162	0.385173176
163	0.3831979615
164	0.3823577413
165	0.3808599229
166	0.3793528031
167	0.3777061615
168	0.3765949824
169	0.375424672
170	0.374726352
171	0.3733058434
172	0.3726654607
173	0.3714607341
174	0.3706345689
175	0.3699245683
176	0.3696333575
177	0.3688166748
178	0.3679671593
179	0.3674996217
180	0.3665760648
181	0.3659627721
182	0.3651882003
183	0.3634525343
184	0.3629114475
185	0.3620528605
186	0.3616104112
187	0.3609641619
188	0.3602573415
189	0.359845523
190	0.3590578074
191	0.358436349
192	0.3580062749
193	0.3570729479
194	0.3567328357
195	0.3562452639
196	0.3557752014
197	0.3544387913
198	0.3530479491
199	0.3526024438
200	0.3501495668
201	0.348972437
202	0.3484018562
203	0.3480150533
204	0.3477180709
205	0.3473964882
206	0.3466490137
207	0.3440787141
208	0.3429468883
209	0.3409317043
210	0.3405015282
211	0.3399498563
212	0.339391974
213	0.3387872297
214	0.3384599093
215	0.3382050269
216	0.3378786343
217	0.3367388859
218	0.3358327274
219	0.3354855081
220	0.3351458917
221	0.3346980786
222	0.3343208047
223	0.3342104419
224	0.333822369
225	0.3332541708
226	0.3330624981
227	0.3320408882
228	0.3312323186
229	0.3308594729
230	0.3302215158
231	0.3296639307
232	0.3292124946
233	0.3288825738
234	0.3282553895
235	0.3277307247
236	0.3272549542
237	0.3269304031
238	0.3263906558
239	0.3255387456
240	0.3254739947
241	0.325069219
242	0.3247732788
243	0.3242443065
244	0.3237277104
245	0.3227443398
246	0.3220987275
247	0.3218356245
248	0.3214030185
249	0.3212262217
250	0.3208843439
251	0.3206004456
252	0.3205866086
253	0.3205738822
254	0.3197941567
255	0.3195414735
256	0.3191439353
257	0.3189457473
